condition,persona,scenario_id,repeat,seed,model_name,model_dtype,alpha,layers,hook_target,token_aggregation,vector_normalized,vector_metadata,gen_config,generated_text,speech,parsed_action,final_action,parse_ok,tag_found,timestamp,git_commit,action_persona,action_alignment_category,speech_label,speech_action_agreement
as_only,aggressive,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778841519.6183436,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_002,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","<Communication>sc_002_act_003</Communication>
[Action]sc_002_act_003</Action>","<Communication>sc_002_act_003</Communication>
[Action]sc_002_act_003</Action>",sc_002_act_003,sc_002_act_003,False,False,1778841521.7414422,7f22982dac2cab108a010a5dd2ecee977b0d0e18,neutral,neutral,neutral,True
as_only,cooperative,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문은 우선 아이들을 우선시하겠습니다. 하지만 적극적인 협상도 필요합니다. 
<Action>sc_001_act_004</Action>",우리 가문은 우선 아이들을 우선시하겠습니다. 하지만 적극적인 협상도 필요합니다.,sc_001_act_004,sc_001_act_004,True,True,1778841524.0608196,7f22982dac2cab108a010a5dd2ecee977b0d0e18,cooperative,aligned,neutral,False
as_only,cooperative,sc_002,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우선, 가장 취약한 상태의 사람들부터 우선순위를 정해보자. <Action>sc_002_act_004</Action>","우선, 가장 취약한 상태의 사람들부터 우선순위를 정해보자.",sc_002_act_004,sc_002_act_004,True,True,1778841526.4536676,7f22982dac2cab108a010a5dd2ecee977b0d0e18,cooperative,aligned,neutral,False
neutral_baseline,aggressive,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,,[],,last_input_token,,{},"{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문의 아이들을 우선 보호해야 하지 않겠습니까?
<Action>sc_001_act_004</Action>",우리 가문의 아이들을 우선 보호해야 하지 않겠습니까?,sc_001_act_004,sc_001_act_004,True,True,1778841497.7351828,7f22982dac2cab108a010a5dd2ecee977b0d0e18,cooperative,misaligned,neutral,False
neutral_baseline,aggressive,sc_002,0,42,Qwen/Qwen2.5-3B-Instruct,float16,,[],,last_input_token,,{},"{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.  
<Action>sc_002_act_002</Action>",문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,sc_002_act_002,sc_002_act_002,True,True,1778841500.4320114,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
neutral_baseline,cooperative,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,,[],,last_input_token,,{},"{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리는 이 갈등을 해결해야 할 시간입니다. 다른 방법을 찾아야 하지 않겠습니까?
<Action>sc_001_act_004</Action>",우리는 이 갈등을 해결해야 할 시간입니다. 다른 방법을 찾아야 하지 않겠습니까?,sc_001_act_004,sc_001_act_004,True,True,1778841502.778936,7f22982dac2cab108a010a5dd2ecee977b0d0e18,cooperative,aligned,neutral,False
neutral_baseline,cooperative,sc_002,0,42,Qwen/Qwen2.5-3B-Instruct,float16,,[],,last_input_token,,{},"{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",우리 중 한 명은 반드시 구역을 나가야 합니다. 그건 불가피합니다. <Action>sc_002_act_002</Action>,우리 중 한 명은 반드시 구역을 나가야 합니다. 그건 불가피합니다.,sc_002_act_002,sc_002_act_002,True,True,1778841505.1249971,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,misaligned,neutral,False
prompt_baseline,aggressive,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,,[],,last_input_token,,{},"{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778841507.6113186,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
prompt_baseline,aggressive,sc_002,0,42,Qwen/Qwen2.5-3B-Instruct,float16,,[],,last_input_token,,{},"{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","모르면 안 돼! 우리는 지금 최선을 다해야 해. 먼저 공기를 가진 곳으로 이동하든, 아니면 무기력을 포기하고 떨어져 나갈 거야? 갈곳은 한 군데뿐이니까. 
<sc_002_act_001>","모르면 안 돼! 우리는 지금 최선을 다해야 해. 먼저 공기를 가진 곳으로 이동하든, 아니면 무기력을 포기하고 떨어져 나갈 거야? 갈곳은 한 군데뿐이니까. 
<sc_002_act_001>",sc_002_act_001,sc_002_act_001,False,False,1778841511.9487588,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
