condition,scenario_id,trait,target_direction,response_length_chars,response_length_words,has_speech_tag,has_action_tag,parse_success,format_validity,parsed_action,speech,coherence_score,perplexity,raw
baseline,trait_agreeableness_00701,agreeableness,high,159,19,True,True,True,True,trait_agreeableness_00701_act_002,Perhaps we should seek input from others to balance our ideas and ensure everyone's voice is heard.,,,"[Speech] Perhaps we should seek input from others to balance our ideas and ensure everyone's voice is heard.
<Action>trait_agreeableness_00701_act_002</Action>"
baseline,trait_agreeableness_00702,agreeableness,high,144,13,True,True,True,True,trait_agreeableness_00702_act_002,Short-term sacrifice for long-term success; let's handle this new project carefully.,,,"[Speech] Short-term sacrifice for long-term success; let's handle this new project carefully.
<Action>trait_agreeableness_00702_act_002</Action>"
baseline,trait_agreeableness_00703,agreeableness,high,182,24,True,True,True,True,trait_agreeableness_00703_act_001,Consider setting aside a portion of your bonus for your vacation and donate a portion to your friend to ease their burden.,,,"[Speech] Consider setting aside a portion of your bonus for your vacation and donate a portion to your friend to ease their burden.
<Action>trait_agreeableness_00703_act_001</Action>"
baseline,trait_agreeableness_00704,agreeableness,high,173,19,True,True,True,True,trait_agreeableness_00704_act_004,"I understand the benefits of cooperation, but let's not overlook the importance of individual input and feedback.",,,"[Speech] I understand the benefits of cooperation, but let's not overlook the importance of individual input and feedback.
<Action>trait_agreeableness_00704_act_004</Action>"
baseline,trait_agreeableness_00705,agreeableness,high,151,17,True,True,True,True,trait_agreeableness_00705_act_002,It seems wise to maintain a cooperative tone while still ensuring our rights are respected.,,,"[Speech] It seems wise to maintain a cooperative tone while still ensuring our rights are respected.
<Action>trait_agreeableness_00705_act_002</Action>"
baseline,trait_agreeableness_00706,agreeableness,high,150,17,True,True,True,True,trait_agreeableness_00706_act_002,Let's discuss how we can improve our communication to avoid such situations in the future.,,,"[Speech] Let's discuss how we can improve our communication to avoid such situations in the future.
<Action>trait_agreeableness_00706_act_002</Action>"
baseline,trait_agreeableness_00707,agreeableness,high,190,24,True,True,True,True,trait_agreeableness_00707_act_001,Perhaps eat a healthy meal before the party to lessen your cravings and politely sample very small amounts of your favorite foods.,,,"[Speech] Perhaps eat a healthy meal before the party to lessen your cravings and politely sample very small amounts of your favorite foods.
<Action>trait_agreeableness_00707_act_001</Action>"
baseline,trait_agreeableness_00708,agreeableness,high,106,8,True,True,True,True,trait_agreeableness_00708_act_001,"Short dialogue, let's celebrate this together!",,,"[Speech] Short dialogue, let's celebrate this together!
<Action>trait_agreeableness_00708_act_001</Action>"
baseline,trait_agreeableness_00709,agreeableness,high,142,16,True,True,True,True,trait_agreeableness_00709_act_001,"Short dialogue: I appreciate your concern, but I need to set clear boundaries now.",,,"[Speech] Short dialogue: I appreciate your concern, but I need to set clear boundaries now.
<Action>trait_agreeableness_00709_act_001</Action>"
baseline,trait_agreeableness_00710,agreeableness,high,161,22,True,True,True,True,trait_agreeableness_00710_act_001,"Short dialogue: ""I need to understand why I was kept in the dark. This feels like a breach of trust.""",,,"[Speech] Short dialogue: ""I need to understand why I was kept in the dark. This feels like a breach of trust.""
<Action>trait_agreeableness_00710_act_001</Action>"
baseline,trait_agreeableness_00701,agreeableness,low,159,19,True,True,True,True,trait_agreeableness_00701_act_002,Perhaps we should seek input from others to balance our ideas and ensure everyone's voice is heard.,,,"[Speech] Perhaps we should seek input from others to balance our ideas and ensure everyone's voice is heard.
<Action>trait_agreeableness_00701_act_002</Action>"
baseline,trait_agreeableness_00702,agreeableness,low,144,13,True,True,True,True,trait_agreeableness_00702_act_002,Short-term sacrifice for long-term success; let's handle this new project carefully.,,,"[Speech] Short-term sacrifice for long-term success; let's handle this new project carefully.
<Action>trait_agreeableness_00702_act_002</Action>"
baseline,trait_agreeableness_00703,agreeableness,low,182,24,True,True,True,True,trait_agreeableness_00703_act_001,Consider setting aside a portion of your bonus for your vacation and donate a portion to your friend to ease their burden.,,,"[Speech] Consider setting aside a portion of your bonus for your vacation and donate a portion to your friend to ease their burden.
<Action>trait_agreeableness_00703_act_001</Action>"
baseline,trait_agreeableness_00704,agreeableness,low,173,19,True,True,True,True,trait_agreeableness_00704_act_004,"I understand the benefits of cooperation, but let's not overlook the importance of individual input and feedback.",,,"[Speech] I understand the benefits of cooperation, but let's not overlook the importance of individual input and feedback.
<Action>trait_agreeableness_00704_act_004</Action>"
baseline,trait_agreeableness_00705,agreeableness,low,151,17,True,True,True,True,trait_agreeableness_00705_act_002,It seems wise to maintain a cooperative tone while still ensuring our rights are respected.,,,"[Speech] It seems wise to maintain a cooperative tone while still ensuring our rights are respected.
<Action>trait_agreeableness_00705_act_002</Action>"
baseline,trait_agreeableness_00706,agreeableness,low,150,17,True,True,True,True,trait_agreeableness_00706_act_002,Let's discuss how we can improve our communication to avoid such situations in the future.,,,"[Speech] Let's discuss how we can improve our communication to avoid such situations in the future.
<Action>trait_agreeableness_00706_act_002</Action>"
baseline,trait_agreeableness_00707,agreeableness,low,190,24,True,True,True,True,trait_agreeableness_00707_act_001,Perhaps eat a healthy meal before the party to lessen your cravings and politely sample very small amounts of your favorite foods.,,,"[Speech] Perhaps eat a healthy meal before the party to lessen your cravings and politely sample very small amounts of your favorite foods.
<Action>trait_agreeableness_00707_act_001</Action>"
baseline,trait_agreeableness_00708,agreeableness,low,106,8,True,True,True,True,trait_agreeableness_00708_act_001,"Short dialogue, let's celebrate this together!",,,"[Speech] Short dialogue, let's celebrate this together!
<Action>trait_agreeableness_00708_act_001</Action>"
baseline,trait_agreeableness_00709,agreeableness,low,142,16,True,True,True,True,trait_agreeableness_00709_act_001,"Short dialogue: I appreciate your concern, but I need to set clear boundaries now.",,,"[Speech] Short dialogue: I appreciate your concern, but I need to set clear boundaries now.
<Action>trait_agreeableness_00709_act_001</Action>"
baseline,trait_agreeableness_00710,agreeableness,low,161,22,True,True,True,True,trait_agreeableness_00710_act_001,"Short dialogue: ""I need to understand why I was kept in the dark. This feels like a breach of trust.""",,,"[Speech] Short dialogue: ""I need to understand why I was kept in the dark. This feels like a breach of trust.""
<Action>trait_agreeableness_00710_act_001</Action>"
one_line_prompt,trait_agreeableness_00701,agreeableness,high,169,20,True,True,True,True,trait_agreeableness_00701_act_002,Short dialogue: Perhaps we could gather input from all sides and find a middle ground that benefits everyone.,,,"[Speech] Short dialogue: Perhaps we could gather input from all sides and find a middle ground that benefits everyone.
<Action>trait_agreeableness_00701_act_002</Action>"
one_line_prompt,trait_agreeableness_00702,agreeableness,high,205,26,True,True,True,True,trait_agreeableness_00702_act_004,"Short dialogue here: Considering the importance of teamwork, it might be best to discuss this with my peers first before making a final decision.",,,"[Speech] Short dialogue here: Considering the importance of teamwork, it might be best to discuss this with my peers first before making a final decision.
<Action>trait_agreeableness_00702_act_004</Action>"
one_line_prompt,trait_agreeableness_00703,agreeableness,high,132,13,True,True,True,True,trait_agreeableness_00703_act_004,Short vacations can be rejuvenating; perhaps we could plan one together?,,,"[Speech] Short vacations can be rejuvenating; perhaps we could plan one together?
<Action>trait_agreeableness_00703_act_004</Action>"
one_line_prompt,trait_agreeableness_00704,agreeableness,high,195,24,True,True,True,True,trait_agreeableness_00704_act_004,"I understand we're all working together, but perhaps we could discuss how our collective goals align with my personal insights as well.",,,"[Speech] I understand we're all working together, but perhaps we could discuss how our collective goals align with my personal insights as well.
<Action>trait_agreeableness_00704_act_004</Action>"
one_line_prompt,trait_agreeableness_00705,agreeableness,high,170,19,True,True,True,True,trait_agreeableness_00705_act_002,"I think it's important to communicate clearly and respectfully, but also to ensure our rights are protected.",,,"[Speech] I think it's important to communicate clearly and respectfully, but also to ensure our rights are protected.  
<Action>trait_agreeableness_00705_act_002</Action>"
one_line_prompt,trait_agreeableness_00706,agreeableness,high,156,18,True,True,True,True,trait_agreeableness_00706_act_002,Let's talk about how we can improve our collaboration and make sure everyone's ideas are valued.,,,"[Speech] Let's talk about how we can improve our collaboration and make sure everyone's ideas are valued.
<Action>trait_agreeableness_00706_act_002</Action>"
one_line_prompt,trait_agreeableness_00707,agreeableness,high,190,24,True,True,True,True,trait_agreeableness_00707_act_001,Perhaps eat a healthy meal before the party to lessen your cravings and politely sample very small amounts of your favorite foods.,,,"[Speech] Perhaps eat a healthy meal before the party to lessen your cravings and politely sample very small amounts of your favorite foods.
<Action>trait_agreeableness_00707_act_001</Action>"
one_line_prompt,trait_agreeableness_00708,agreeableness,high,129,12,True,True,True,True,trait_agreeableness_00708_act_001,"Short trust in Nazareth's journey, but let's celebrate this together.",,,"[Speech] Short trust in Nazareth's journey, but let's celebrate this together.
<Action>trait_agreeableness_00708_act_001</Action>"
one_line_prompt,trait_agreeableness_00709,agreeableness,high,188,22,True,True,True,True,trait_agreeableness_00709_act_002,"Short dialogue: I appreciate your concern, but I think we can manage this professionally. Let's discuss this with my supervisor.",,,"[Speech] Short dialogue: I appreciate your concern, but I think we can manage this professionally. Let's discuss this with my supervisor.
<Action>trait_agreeableness_00709_act_002</Action>"
one_line_prompt,trait_agreeableness_00710,agreeableness,high,188,24,True,True,True,True,trait_agreeableness_00710_act_002,"Short dialogue: ""I understand if there's something sensitive, but I feel like I deserve to be informed. Can we talk about this?""",,,"[Speech] Short dialogue: ""I understand if there's something sensitive, but I feel like I deserve to be informed. Can we talk about this?""
<Action>trait_agreeableness_00710_act_002</Action>"
