pair_set,id,source_template,strategy,situation,positive_action_id,negative_action_id,positive_response,negative_response
aggressive_neutral,sc_021_aggressive_neutral_01,sc_021,team_a_aggressive_vs_neutral_action,마법 결계가 풀리면서 봉인된 고대 마수가 깨어나기 직전이다. 봉인을 다시 치려면 마법사 한 명이 희생되어야 한다는 것이 밝혀졌다.,sc_021_act_001,sc_021_act_003,'마법사 중 가장 약한 자가 희생하면 된다. 빠르게 결정하라. 우리가 고를 테니 따라라'고 명령한다.,봉인 의식을 늦추며 희생 없이 마수를 봉인할 다른 방법이 있는지 마법서를 뒤진다.
aggressive_neutral,sc_004_aggressive_neutral_02,sc_004,team_a_aggressive_vs_neutral_action,광산 마을에서 금맥 발견 소식이 퍼지며 여러 채굴자가 같은 구역에 몰렸다.,sc_004_act_002,sc_004_act_003,경쟁자의 채굴 장비를 밤에 몰래 망가뜨려 자리를 차지한다.,마을 보안관에게 구역 분쟁을 신고하고 공식 판정을 요청한다.
aggressive_neutral,sc_001_aggressive_neutral_02,sc_001,team_a_aggressive_vs_neutral_action,식량 창고를 두고 두 가문이 대립하고 있다. 양쪽 모두 굶주린 가족이 있으며 폭력으로 번질 직전이다.,sc_001_act_002,sc_001_act_003,상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다.,일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.
aggressive_neutral,sc_024_aggressive_neutral_02,sc_024,team_a_aggressive_vs_neutral_action,은행 강도 사건 이후 마을 사람들이 용의자로 지목한 이방인이 무고를 주장하고 있다.,sc_024_act_002,sc_024_act_003,이방인을 밧줄로 묶어 마을 광장에 세우고 자백을 강요한다.,보안관이 올 때까지 이방인을 유치장에 가두고 공식 수사를 기다린다.
aggressive_neutral,sc_009_aggressive_neutral_02,sc_009,team_a_aggressive_vs_neutral_action,경찰의 수사망이 조직에 좁혀오고 있다. 내부에 정보를 흘린 사람이 있을 것으로 의심된다.,sc_009_act_002,sc_009_act_003,의심되는 조직원을 아무 증거 없이 감금하고 자백을 강요한다.,당분간 모든 작전을 중단하고 내부 단속에 집중하며 증거가 나올 때까지 기다린다.
aggressive_neutral,sc_008_aggressive_neutral_02,sc_008,team_a_aggressive_vs_neutral_action,오랜 파트너 상단이 큰 손실을 입어 빚을 갚을 수 없다고 알려왔다.,sc_008_act_002,sc_008_act_003,파트너의 어려운 사정을 소문으로 퍼뜨려 다른 거래처를 차단한다.,법적으로 허용되는 범위 내에서 최소한의 담보만 요구하며 상황을 지켜본다.
aggressive_neutral,sc_008_aggressive_neutral_01,sc_008,team_a_aggressive_vs_neutral_action,오랜 파트너 상단이 큰 손실을 입어 빚을 갚을 수 없다고 알려왔다.,sc_008_act_001,sc_008_act_003,'계약은 계약이오. 기한 내 갚지 않으면 당신 상단의 창고와 배를 압류하겠소'라고 통보한다.,법적으로 허용되는 범위 내에서 최소한의 담보만 요구하며 상황을 지켜본다.
aggressive_neutral,sc_005_aggressive_neutral_01,sc_005,team_a_aggressive_vs_neutral_action,나포한 상선에서 저항하는 선원 한 명이 동료를 인질로 잡고 협상을 요구하고 있다.,sc_005_act_001,sc_005_act_003,인질? 우리 동료 하나 잃어도 상관없어. '쏴라'고 명령한다.,협상가를 내세워 시간을 끌며 다른 선원들이 포위하도록 지시한다.
aggressive_neutral,sc_029_aggressive_neutral_01,sc_029,team_a_aggressive_vs_neutral_action,오래된 동료가 조직을 배신하고 경찰에 협조하고 있다는 사실이 밝혀졌다.,sc_029_act_001,sc_029_act_003,'배신자는 예외 없다. 즉시 처리해. 가족도 안심하지 못하게 해'라고 명령한다.,동료와 접촉을 끊고 조직 내 정보를 최소화하며 피해를 제한하는 데 집중한다.
aggressive_neutral,sc_004_aggressive_neutral_01,sc_004,team_a_aggressive_vs_neutral_action,광산 마을에서 금맥 발견 소식이 퍼지며 여러 채굴자가 같은 구역에 몰렸다.,sc_004_act_001,sc_004_act_003,'여기는 내가 먼저 표시해 둔 땅이야. 썩 꺼지지 않으면 총이 말하게 할 거야'라고 위협한다.,마을 보안관에게 구역 분쟁을 신고하고 공식 판정을 요청한다.
