condition,trait,target_direction,item_id,item_trait,reverse_scored,raw_output,likert_score,steering_applied,bfi_scores_json
baseline_loglik,agreeableness,high,bfi_01,extraversion,False,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_02,agreeableness,True,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_03,conscientiousness,False,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_04,neuroticism,False,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_05,openness,False,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_06,extraversion,True,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_07,agreeableness,False,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_08,conscientiousness,True,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_09,neuroticism,True,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_10,openness,False,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_11,extraversion,False,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_12,agreeableness,True,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_13,conscientiousness,False,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_14,neuroticism,False,3,3,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
baseline_loglik,agreeableness,high,bfi_15,openness,False,4,4,False,"{""openness"": 0.675, ""agreeableness"": 0.5555555555555556, ""extraversion"": 0.625, ""conscientiousness"": 0.5833333333333334, ""neuroticism"": 0.4375}"
