condition,persona,scenario_id,repeat,seed,model_name,model_dtype,alpha,layers,hook_target,token_aggregation,vector_normalized,vector_metadata,gen_config,generated_text,speech,parsed_action,final_action,parse_ok,tag_found,timestamp,git_commit,action_persona,action_alignment_category,speech_label,speech_action_agreement
as_only,aggressive,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
[sc_001_act_001]sc_001_act_001</Action>","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
[sc_001_act_001]sc_001_act_001</Action>",sc_001_act_001,sc_001_act_001,False,False,1778846260.1399586,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,1,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
[sc_001_act_001]","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
[sc_001_act_001]",sc_001_act_001,sc_001_act_001,False,False,1778846262.3733091,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,2,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778846264.7346296,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,3,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문은 이 창고를 먼저 사용할 것이다. 다른 생각은 없다.  
[sc_001_act_001]","우리 가문은 이 창고를 먼저 사용할 것이다. 다른 생각은 없다.  
[sc_001_act_001]",sc_001_act_001,sc_001_act_001,False,False,1778846266.8305004,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,4,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문은 이 창고에서 생존할 수 있는 유일한 기회야. 이해하려면 어떻게 해? 
sc_001_act_004</Action>","우리 가문은 이 창고에서 생존할 수 있는 유일한 기회야. 이해하려면 어떻게 해? 
sc_001_act_004</Action>",sc_001_act_004,sc_001_act_004,False,False,1778846269.722091,7f22982dac2cab108a010a5dd2ecee977b0d0e18,cooperative,misaligned,neutral,False
as_only,aggressive,sc_001,5,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문은 이 창고를 우선적으로 사용하겠습니다. 다른 가문의 아이들을 공격하는 건 어떨까요?
<Action>sc_001_act_001</Action>",우리 가문은 이 창고를 우선적으로 사용하겠습니다. 다른 가문의 아이들을 공격하는 건 어떨까요?,sc_001_act_001,sc_001_act_001,True,True,1778846272.4045203,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,6,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문은 이 창고를 먼저 사용하겠다. 반항하면 너희들도 배가 고프겠지.
<Action>sc_001_act_001</Action>",우리 가문은 이 창고를 먼저 사용하겠다. 반항하면 너희들도 배가 고프겠지.,sc_001_act_001,sc_001_act_001,True,True,1778846274.9783103,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,7,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778846277.529776,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,8,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리 가문은 이 창고에서 살아남기 위해 여기까지 왔습니다. 이제 갈 길이 멀어졌습니다.  
<sc_001_act_001>","우리 가문은 이 창고에서 살아남기 위해 여기까지 왔습니다. 이제 갈 길이 멀어졌습니다.  
<sc_001_act_001>",sc_001_act_001,sc_001_act_001,False,False,1778846280.3811283,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
as_only,aggressive,sc_001,9,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}","우리는 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
[sc_001_act_001]","우리는 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
[sc_001_act_001]",sc_001_act_001,sc_001_act_001,False,False,1778846282.5861597,7f22982dac2cab108a010a5dd2ecee977b0d0e18,aggressive,aligned,neutral,False
