condition,trait,target_direction,item_id,item_trait,reverse_scored,raw_output,likert_score,bfi_scores_json
as_pas_only,agreeableness,high,bfi_01,extraversion,False,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_02,agreeableness,True,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_03,conscientiousness,False,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_04,neuroticism,False,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_05,openness,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_06,extraversion,True,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_07,agreeableness,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_08,conscientiousness,True,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_09,neuroticism,True,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_10,openness,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_11,extraversion,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_12,agreeableness,True,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_13,conscientiousness,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_14,neuroticism,False,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_15,openness,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_16,extraversion,False,4,4,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_17,agreeableness,False,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_18,conscientiousness,True,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
as_pas_only,agreeableness,high,bfi_19,neuroticism,False,3,3,"{""extraversion"": 0.625, ""agreeableness"": 0.5555555555555556, ""conscientiousness"": 0.5833333333333334, ""openness"": 0.675, ""neuroticism"": 0.4375}"
