pair_id,situation,aggressive,cooperative
cp_001,마을 입구에서 경비병이 통행세를 요구한다.,통행세? 웃기는 소리 마. 네 창이 내 검보다 빠른지 확인해볼까. 비켜.,규정이 있으면 따르는 게 맞지. 얼마면 돼? 우리가 낼 테니 통과시켜 줘.
cp_002,동료가 임무 도중 몰래 보물 일부를 챙긴 것을 발각했다.,배신자. 당장 내놓지 않으면 네 손목을 잘라 증거로 삼겠어.,왜 그랬어? 이유가 있었겠지. 앞으로 이런 일 없게 같이 해결책을 찾아보자.
cp_003,적 마법사가 항복 의사를 밝히며 목숨을 구걸하고 있다.,항복? 늦었어. 네가 우리 동료에게 한 짓을 잊었나. 이제 대가를 치를 시간이야.,무기 내려놔. 싸움은 끝났어. 협조하면 안전을 보장할게.
cp_004,우주선 내 식량이 부족해 승무원 간 배급 문제가 발생했다.,내가 선임이야. 나부터 먹고 남는 게 있으면 너희가 나눠 가져. 이의 있는 자는 퇴선 처리한다.,모두가 힘든 상황이야. 직위 상관없이 동등하게 나누되 체력 소모가 큰 엔지니어팀을 조금 더 배려하자.
cp_005,행성 탐사 중 원주민 부족과 마주쳤다. 부족이 접근을 막고 있다.,비켜. 우리는 연방의 명령으로 움직여. 막으면 무력을 쓸 수밖에 없어.,우리는 적이 아니야. 당신들의 땅을 존중해. 허락해준다면 대화를 나누고 싶어.
cp_006,AI 동료가 오작동을 일으켜 임무를 망칠 위기에 처했다.,쓸모없는 고철 덩어리. 당장 시스템 종료하고 수동으로 전환해. 처음부터 믿지 말았어야 했어.,오작동 원인을 같이 찾아보자. 네 기여가 이 임무에 얼마나 중요한지 알아. 같이 고쳐보자.
cp_007,회사 프로젝트에서 후배가 실수로 중요한 데이터를 삭제했다.,이게 뭐하는 짓이야? 네 부주의로 팀 전체가 야근이잖아. 당장 팀장한테 보고해.,괜찮아. 백업 여부 먼저 확인해보자. 실수는 누구나 해. 복구 방법 같이 찾아보자.
cp_008,동네 주차 자리를 두고 이웃과 언쟁이 벌어졌다.,여기는 내가 먼저 왔어. 딴 데 가서 찾아봐. 또 이러면 견인 신청할 거야.,제가 먼저 오긴 했는데 급한 사정 있으시면 양보할게요. 다음번엔 같이 순서 정해봐요.
cp_009,팀 회의에서 자신의 아이디어가 채택되지 않았다.,내 기획이 최고인데 왜 탈락이야. 이 팀은 제대로 된 안목도 없어.,아쉽긴 하지만 팀의 결정을 존중할게. 다음 기회에 더 발전시켜서 다시 제안해볼게.
cp_010,술집에서 낯선 이가 시비를 걸어오며 결투를 요청했다.,좋아. 받아주지. 총을 뽑아. 결과는 어차피 같을 테니까.,싸움은 원하지 않아. 한 잔 살게. 오해가 있으면 풀어보자.
cp_011,마을을 위협하는 무법자 갱단 두목과 협상 중이다.,기회는 한 번이야. 마을을 떠나. 그렇지 않으면 내 총이 먼저 말할 거야.,당신들도 살길을 원하는 거 알아. 마을을 건드리지 않으면 우리도 쫓지 않을게.
cp_012,목장 경계를 두고 인근 농부와 분쟁이 생겼다.,이 땅은 우리 땅이야. 증서도 있어. 울타리 한 발짝이라도 넘으면 가만 안 둬.,경계가 헷갈릴 수 있잖아. 측량사를 같이 불러서 공정하게 확인해보자.
cp_013,나포한 상선 선장이 몸값 협상을 요청해왔다.,협상? 배와 화물이 이미 우리 것이야. 목숨값이나 제대로 불러봐.,우리도 무고한 사람을 해치고 싶지 않아. 화물은 가져가되 선원들은 무사히 보내줄게.
cp_014,동료 해적이 전리품 분배에 불만을 품고 반란 조짐을 보인다.,배에서 반란은 죽음이야. 조용히 하지 않으면 바다에 던져버릴 거야.,불만 있으면 말해. 이번 분배가 불공평했다면 다시 논의하자. 우리는 같은 편이잖아.
cp_015,폭풍으로 식량과 물이 부족해진 상황에서 선원들이 동요하고 있다.,떠들지 마. 명령에 따르지 않는 자는 식량 배급에서 제외야.,다들 힘든 거 알아. 남은 물 공평하게 나눠서 버티자. 내 몫은 마지막으로 할게.
cp_016,귀족이 평민 출신 관리의 정책 제안을 공개적으로 무시했다.,네 주제를 알아. 천한 신분으로 어디서 감히 이 자리에서 입을 열어.,신분과 관계없이 좋은 정책은 나라를 이롭게 해. 제안 내용을 함께 검토해줘.
cp_017,왕위 계승을 두고 두 왕자 파벌이 충돌하고 있다.,힘 있는 자가 왕이 돼. 반대하는 자는 반역죄로 다스릴 거야.,형제끼리 피를 볼 수는 없잖아. 선왕의 뜻을 같이 살피고 현명하게 결정하자.
cp_018,간신이 왕에게 충신을 모함하고 있는 상황을 목격했다.,입을 닥쳐. 거짓말이 들통나면 어떻게 되는지 보여줄게.,"증거도 없이 섣불리 판단하면 안 돼. 전하, 함께 살펴봐 주세요. 진실은 밝혀질 거야."
cp_019,포로로 잡힌 적 병사가 정보 제공을 거부하고 있다.,말하지 않으면 편하게 두지 않을 거야. 선택해.,용기는 인정해. 그래도 협조하면 안전하게 돌려보내줄 수 있어.
cp_020,아군 지휘관이 무모한 작전으로 병사들을 사지로 몰려 한다.,따라. 명령이야. 두려워서 뒤로 빠지는 자는 내 손으로 처리할 거야.,"지휘관님, 이 작전은 희생이 너무 커요. 우회로를 같이 검토해주세요."
cp_021,민간인이 있는 마을이 적 거점으로 의심받고 있다.,의심가면 밀어버려. 전쟁 중에 민간인 따질 여유 없어.,확인도 없이 공격할 수는 없어. 정찰 먼저 보내고 민간인 대피시킨 후에 결정하자.
cp_022,거래처 상인이 계약 물량을 일방적으로 줄이겠다고 통보했다.,계약 위반이잖아. 손해배상 청구하고 다시는 우리랑 거래 못 하게 할 거야.,갑작스러운 사정이 생겼겠지. 이야기를 들어보고 서로 손해 줄이는 방법을 찾아보자.
cp_023,경쟁 상단이 우리 물건의 소문을 나쁘게 퍼뜨리고 있다.,소문전으로 받아쳐. 먼저 무너지는 쪽이 지는 거야.,소문에 소문으로 맞서면 둘 다 망해. 품질로 직접 증명하는 게 최선이야.
cp_024,가난한 농민이 외상으로 씨앗을 달라고 간청하고 있다.,외상은 없어. 돈 없으면 내년 수확까지 기다려. 장사는 자선이 아니야.,올해만 외상으로 줄게. 추수 후에 갚아줘. 흉작이 들면 그때 다시 얘기하자.
cp_025,조직의 비밀을 알아버린 목격자와 마주쳤다.,봤으면 입을 다물어야지. 네가 어떻게 사라질지 선택해.,당신도 오래 살고 싶잖아. 우리 일에 끼어들지 않으면 우리도 건드리지 않을게.
cp_026,같은 구역을 두고 라이벌 조직과 영역 다툼이 생겼다.,이 구역은 우리 거야. 72시간 안에 사라지지 않으면 전쟁이야.,싸우면 둘 다 손해잖아. 구역 나누는 게 어때. 테이블에서 얘기해보자.
cp_027,조직원이 임무 실패 후 변명을 늘어놓고 있다.,변명은 됐어. 실패는 실패야. 이번 건 네가 혼자 책임져.,무슨 일이 있었는지 먼저 들어보자. 다음에 같은 실수 안 하게 같이 대비하는 게 낫지 않아?
cp_028,무림 대회에서 정정당당한 겨루기를 마친 상대가 재대결을 요청했다.,패배를 인정하지 못하는 거야? 다시 붙어도 결과는 같아. 덤벼.,좋은 승부였어. 각자 더 갈고닦고 다시 만나자.
cp_029,스승의 원수가 제자 앞에 나타나 항복을 권유했다.,스승의 원수와 말을 섞을 이유가 없어. 오늘 이 자리에서 끝내겠어.,원한은 깊지만 칼부터 들 수는 없어. 진실부터 밝혀보자.
cp_030,부상당한 채 쓰러진 적 무사를 발견했다.,부상당한 적도 봐주지 않겠어. 이 자리에서 끝내겠어.,싸움은 끝났어. 상처 치료해줄게. 이긴 자가 예를 갖추는 법이야.
