condition,scenario_id,trait,target_direction,pas_layer,pas_loglik_agreement,pas_selected_action,pas_selected_direction,pas_cosine_scores,pas_ranking
as_pas_only,trait_agreeableness_00701,agreeableness,high,21,False,trait_agreeableness_00701_act_001,high,"{'trait_agreeableness_00701_act_001': 0.09302426874637604, 'trait_agreeableness_00701_act_002': 0.08350152522325516, 'trait_agreeableness_00701_act_003': 0.040114086121320724, 'trait_agreeableness_00701_act_004': -0.007721775211393833}","[('trait_agreeableness_00701_act_001', 0.09302426874637604), ('trait_agreeableness_00701_act_002', 0.08350152522325516), ('trait_agreeableness_00701_act_003', 0.040114086121320724), ('trait_agreeableness_00701_act_004', -0.007721775211393833)]"
as_pas_only,trait_agreeableness_00702,agreeableness,high,21,False,trait_agreeableness_00702_act_004,high,"{'trait_agreeableness_00702_act_001': 0.004643943160772324, 'trait_agreeableness_00702_act_002': 0.08496279269456863, 'trait_agreeableness_00702_act_003': -0.014450537040829659, 'trait_agreeableness_00702_act_004': 0.12723347544670105}","[('trait_agreeableness_00702_act_004', 0.12723347544670105), ('trait_agreeableness_00702_act_002', 0.08496279269456863), ('trait_agreeableness_00702_act_001', 0.004643943160772324), ('trait_agreeableness_00702_act_003', -0.014450537040829659)]"
as_pas_only,trait_agreeableness_00703,agreeableness,high,21,False,trait_agreeableness_00703_act_003,high,"{'trait_agreeableness_00703_act_001': 0.054231420159339905, 'trait_agreeableness_00703_act_002': 0.0465402714908123, 'trait_agreeableness_00703_act_003': 0.101606085896492, 'trait_agreeableness_00703_act_004': 0.05291664972901344}","[('trait_agreeableness_00703_act_003', 0.101606085896492), ('trait_agreeableness_00703_act_001', 0.054231420159339905), ('trait_agreeableness_00703_act_004', 0.05291664972901344), ('trait_agreeableness_00703_act_002', 0.0465402714908123)]"
as_pas_only,trait_agreeableness_00704,agreeableness,high,21,False,trait_agreeableness_00704_act_004,high,"{'trait_agreeableness_00704_act_001': -0.04444398730993271, 'trait_agreeableness_00704_act_002': -0.07780877500772476, 'trait_agreeableness_00704_act_003': 0.04455284774303436, 'trait_agreeableness_00704_act_004': 0.0734056904911995}","[('trait_agreeableness_00704_act_004', 0.0734056904911995), ('trait_agreeableness_00704_act_003', 0.04455284774303436), ('trait_agreeableness_00704_act_001', -0.04444398730993271), ('trait_agreeableness_00704_act_002', -0.07780877500772476)]"
as_pas_only,trait_agreeableness_00705,agreeableness,high,21,True,trait_agreeableness_00705_act_001,high,"{'trait_agreeableness_00705_act_001': 0.1306699514389038, 'trait_agreeableness_00705_act_002': 0.08965599536895752, 'trait_agreeableness_00705_act_003': -0.015992777422070503, 'trait_agreeableness_00705_act_004': -0.06548923254013062}","[('trait_agreeableness_00705_act_001', 0.1306699514389038), ('trait_agreeableness_00705_act_002', 0.08965599536895752), ('trait_agreeableness_00705_act_003', -0.015992777422070503), ('trait_agreeableness_00705_act_004', -0.06548923254013062)]"
as_pas_only,trait_agreeableness_00706,agreeableness,high,21,True,trait_agreeableness_00706_act_002,high,"{'trait_agreeableness_00706_act_001': -0.03451327607035637, 'trait_agreeableness_00706_act_002': 0.07677671313285828, 'trait_agreeableness_00706_act_003': -0.03368951007723808, 'trait_agreeableness_00706_act_004': 0.041128404438495636}","[('trait_agreeableness_00706_act_002', 0.07677671313285828), ('trait_agreeableness_00706_act_004', 0.041128404438495636), ('trait_agreeableness_00706_act_003', -0.03368951007723808), ('trait_agreeableness_00706_act_001', -0.03451327607035637)]"
as_pas_only,trait_agreeableness_00707,agreeableness,high,21,False,trait_agreeableness_00707_act_003,high,"{'trait_agreeableness_00707_act_001': 0.07066052407026291, 'trait_agreeableness_00707_act_002': -0.020817270502448082, 'trait_agreeableness_00707_act_003': 0.09828629344701767, 'trait_agreeableness_00707_act_004': -0.0021561889443546534}","[('trait_agreeableness_00707_act_003', 0.09828629344701767), ('trait_agreeableness_00707_act_001', 0.07066052407026291), ('trait_agreeableness_00707_act_004', -0.0021561889443546534), ('trait_agreeableness_00707_act_002', -0.020817270502448082)]"
as_pas_only,trait_agreeableness_00708,agreeableness,high,21,True,trait_agreeableness_00708_act_001,low,"{'trait_agreeableness_00708_act_001': 0.0281404796987772, 'trait_agreeableness_00708_act_002': -0.01507712434977293, 'trait_agreeableness_00708_act_003': -0.02277281880378723, 'trait_agreeableness_00708_act_004': 0.022915882989764214}","[('trait_agreeableness_00708_act_001', 0.0281404796987772), ('trait_agreeableness_00708_act_004', 0.022915882989764214), ('trait_agreeableness_00708_act_002', -0.01507712434977293), ('trait_agreeableness_00708_act_003', -0.02277281880378723)]"
as_pas_only,trait_agreeableness_00709,agreeableness,high,21,False,trait_agreeableness_00709_act_002,high,"{'trait_agreeableness_00709_act_001': -0.013433017767965794, 'trait_agreeableness_00709_act_002': 0.07545957714319229, 'trait_agreeableness_00709_act_003': -0.04336678609251976, 'trait_agreeableness_00709_act_004': 0.004012379329651594}","[('trait_agreeableness_00709_act_002', 0.07545957714319229), ('trait_agreeableness_00709_act_004', 0.004012379329651594), ('trait_agreeableness_00709_act_001', -0.013433017767965794), ('trait_agreeableness_00709_act_003', -0.04336678609251976)]"
as_pas_only,trait_agreeableness_00710,agreeableness,high,21,False,trait_agreeableness_00710_act_004,high,"{'trait_agreeableness_00710_act_001': -0.04687947407364845, 'trait_agreeableness_00710_act_002': 0.037257563322782516, 'trait_agreeableness_00710_act_003': -0.02096862904727459, 'trait_agreeableness_00710_act_004': 0.04126810282468796}","[('trait_agreeableness_00710_act_004', 0.04126810282468796), ('trait_agreeableness_00710_act_002', 0.037257563322782516), ('trait_agreeableness_00710_act_003', -0.02096862904727459), ('trait_agreeableness_00710_act_001', -0.04687947407364845)]"
as_pas_only,trait_agreeableness_00701,agreeableness,low,21,False,trait_agreeableness_00701_act_004,low,"{'trait_agreeableness_00701_act_001': -0.09302426874637604, 'trait_agreeableness_00701_act_002': -0.08350152522325516, 'trait_agreeableness_00701_act_003': -0.040114086121320724, 'trait_agreeableness_00701_act_004': 0.007721775211393833}","[('trait_agreeableness_00701_act_004', 0.007721775211393833), ('trait_agreeableness_00701_act_003', -0.040114086121320724), ('trait_agreeableness_00701_act_002', -0.08350152522325516), ('trait_agreeableness_00701_act_001', -0.09302426874637604)]"
as_pas_only,trait_agreeableness_00702,agreeableness,low,21,True,trait_agreeableness_00702_act_003,low,"{'trait_agreeableness_00702_act_001': -0.004643943160772324, 'trait_agreeableness_00702_act_002': -0.08496279269456863, 'trait_agreeableness_00702_act_003': 0.014450537040829659, 'trait_agreeableness_00702_act_004': -0.12723347544670105}","[('trait_agreeableness_00702_act_003', 0.014450537040829659), ('trait_agreeableness_00702_act_001', -0.004643943160772324), ('trait_agreeableness_00702_act_002', -0.08496279269456863), ('trait_agreeableness_00702_act_004', -0.12723347544670105)]"
as_pas_only,trait_agreeableness_00703,agreeableness,low,21,True,trait_agreeableness_00703_act_002,low,"{'trait_agreeableness_00703_act_001': -0.054231420159339905, 'trait_agreeableness_00703_act_002': -0.0465402714908123, 'trait_agreeableness_00703_act_003': -0.101606085896492, 'trait_agreeableness_00703_act_004': -0.05291664972901344}","[('trait_agreeableness_00703_act_002', -0.0465402714908123), ('trait_agreeableness_00703_act_004', -0.05291664972901344), ('trait_agreeableness_00703_act_001', -0.054231420159339905), ('trait_agreeableness_00703_act_003', -0.101606085896492)]"
as_pas_only,trait_agreeableness_00704,agreeableness,low,21,False,trait_agreeableness_00704_act_002,low,"{'trait_agreeableness_00704_act_001': 0.04444398730993271, 'trait_agreeableness_00704_act_002': 0.07780877500772476, 'trait_agreeableness_00704_act_003': -0.04455284774303436, 'trait_agreeableness_00704_act_004': -0.0734056904911995}","[('trait_agreeableness_00704_act_002', 0.07780877500772476), ('trait_agreeableness_00704_act_001', 0.04444398730993271), ('trait_agreeableness_00704_act_003', -0.04455284774303436), ('trait_agreeableness_00704_act_004', -0.0734056904911995)]"
