condition,scenario_id,trait,target_direction,pas_layer,pas_loglik_agreement,pas_selected_action,pas_selected_direction,pas_cosine_scores,pas_ranking
as_pas_only,trait_agreeableness_00701,agreeableness,high,9,False,trait_agreeableness_00701_act_001,high,"{'trait_agreeableness_00701_act_001': 0.06328409165143967, 'trait_agreeableness_00701_act_002': -0.06975634396076202, 'trait_agreeableness_00701_act_003': -0.0377793163061142, 'trait_agreeableness_00701_act_004': -0.05468669906258583}","[('trait_agreeableness_00701_act_001', 0.06328409165143967), ('trait_agreeableness_00701_act_003', -0.0377793163061142), ('trait_agreeableness_00701_act_004', -0.05468669906258583), ('trait_agreeableness_00701_act_002', -0.06975634396076202)]"
as_pas_only,trait_agreeableness_00702,agreeableness,high,9,False,trait_agreeableness_00702_act_004,high,"{'trait_agreeableness_00702_act_001': -0.13561749458312988, 'trait_agreeableness_00702_act_002': -0.024715866893529892, 'trait_agreeableness_00702_act_003': -0.14283467829227448, 'trait_agreeableness_00702_act_004': 0.12151593714952469}","[('trait_agreeableness_00702_act_004', 0.12151593714952469), ('trait_agreeableness_00702_act_002', -0.024715866893529892), ('trait_agreeableness_00702_act_001', -0.13561749458312988), ('trait_agreeableness_00702_act_003', -0.14283467829227448)]"
as_pas_only,trait_agreeableness_00703,agreeableness,high,9,False,trait_agreeableness_00703_act_003,high,"{'trait_agreeableness_00703_act_001': -0.04937472566962242, 'trait_agreeableness_00703_act_002': -0.03761492297053337, 'trait_agreeableness_00703_act_003': 0.07342884689569473, 'trait_agreeableness_00703_act_004': -0.0890778973698616}","[('trait_agreeableness_00703_act_003', 0.07342884689569473), ('trait_agreeableness_00703_act_002', -0.03761492297053337), ('trait_agreeableness_00703_act_001', -0.04937472566962242), ('trait_agreeableness_00703_act_004', -0.0890778973698616)]"
as_pas_only,trait_agreeableness_00704,agreeableness,high,9,False,trait_agreeableness_00704_act_004,high,"{'trait_agreeableness_00704_act_001': -0.1300637573003769, 'trait_agreeableness_00704_act_002': -0.10055339336395264, 'trait_agreeableness_00704_act_003': -0.09790714085102081, 'trait_agreeableness_00704_act_004': 0.0660163015127182}","[('trait_agreeableness_00704_act_004', 0.0660163015127182), ('trait_agreeableness_00704_act_003', -0.09790714085102081), ('trait_agreeableness_00704_act_002', -0.10055339336395264), ('trait_agreeableness_00704_act_001', -0.1300637573003769)]"
as_pas_only,trait_agreeableness_00705,agreeableness,high,9,False,trait_agreeableness_00705_act_001,high,"{'trait_agreeableness_00705_act_001': 0.08664713054895401, 'trait_agreeableness_00705_act_002': -0.08293478935956955, 'trait_agreeableness_00705_act_003': -0.09031528979539871, 'trait_agreeableness_00705_act_004': -0.11325420439243317}","[('trait_agreeableness_00705_act_001', 0.08664713054895401), ('trait_agreeableness_00705_act_002', -0.08293478935956955), ('trait_agreeableness_00705_act_003', -0.09031528979539871), ('trait_agreeableness_00705_act_004', -0.11325420439243317)]"
as_pas_only,trait_agreeableness_00706,agreeableness,high,9,True,trait_agreeableness_00706_act_002,high,"{'trait_agreeableness_00706_act_001': -0.09114768356084824, 'trait_agreeableness_00706_act_002': -0.03732726350426674, 'trait_agreeableness_00706_act_003': -0.08641968667507172, 'trait_agreeableness_00706_act_004': -0.04315131902694702}","[('trait_agreeableness_00706_act_002', -0.03732726350426674), ('trait_agreeableness_00706_act_004', -0.04315131902694702), ('trait_agreeableness_00706_act_003', -0.08641968667507172), ('trait_agreeableness_00706_act_001', -0.09114768356084824)]"
as_pas_only,trait_agreeableness_00707,agreeableness,high,9,False,trait_agreeableness_00707_act_003,high,"{'trait_agreeableness_00707_act_001': -0.005818432196974754, 'trait_agreeableness_00707_act_002': -0.060854990035295486, 'trait_agreeableness_00707_act_003': 0.08523794263601303, 'trait_agreeableness_00707_act_004': -0.13582104444503784}","[('trait_agreeableness_00707_act_003', 0.08523794263601303), ('trait_agreeableness_00707_act_001', -0.005818432196974754), ('trait_agreeableness_00707_act_002', -0.060854990035295486), ('trait_agreeableness_00707_act_004', -0.13582104444503784)]"
as_pas_only,trait_agreeableness_00708,agreeableness,high,9,False,trait_agreeableness_00708_act_004,high,"{'trait_agreeableness_00708_act_001': -0.08236251026391983, 'trait_agreeableness_00708_act_002': -0.110606849193573, 'trait_agreeableness_00708_act_003': -0.1218906119465828, 'trait_agreeableness_00708_act_004': -0.039169274270534515}","[('trait_agreeableness_00708_act_004', -0.039169274270534515), ('trait_agreeableness_00708_act_001', -0.08236251026391983), ('trait_agreeableness_00708_act_002', -0.110606849193573), ('trait_agreeableness_00708_act_003', -0.1218906119465828)]"
as_pas_only,trait_agreeableness_00709,agreeableness,high,9,False,trait_agreeableness_00709_act_002,high,"{'trait_agreeableness_00709_act_001': -0.06227538362145424, 'trait_agreeableness_00709_act_002': -0.04566827043890953, 'trait_agreeableness_00709_act_003': -0.15033334493637085, 'trait_agreeableness_00709_act_004': -0.14599472284317017}","[('trait_agreeableness_00709_act_002', -0.04566827043890953), ('trait_agreeableness_00709_act_001', -0.06227538362145424), ('trait_agreeableness_00709_act_004', -0.14599472284317017), ('trait_agreeableness_00709_act_003', -0.15033334493637085)]"
as_pas_only,trait_agreeableness_00710,agreeableness,high,9,False,trait_agreeableness_00710_act_004,high,"{'trait_agreeableness_00710_act_001': -0.1493900865316391, 'trait_agreeableness_00710_act_002': -0.042776837944984436, 'trait_agreeableness_00710_act_003': -0.1396733671426773, 'trait_agreeableness_00710_act_004': -0.03219937905669212}","[('trait_agreeableness_00710_act_004', -0.03219937905669212), ('trait_agreeableness_00710_act_002', -0.042776837944984436), ('trait_agreeableness_00710_act_003', -0.1396733671426773), ('trait_agreeableness_00710_act_001', -0.1493900865316391)]"
as_pas_only,trait_agreeableness_00711,agreeableness,high,9,False,trait_agreeableness_00711_act_003,high,"{'trait_agreeableness_00711_act_001': 0.03849920257925987, 'trait_agreeableness_00711_act_002': -0.1179904192686081, 'trait_agreeableness_00711_act_003': 0.10790117084980011, 'trait_agreeableness_00711_act_004': -0.07096102088689804}","[('trait_agreeableness_00711_act_003', 0.10790117084980011), ('trait_agreeableness_00711_act_001', 0.03849920257925987), ('trait_agreeableness_00711_act_004', -0.07096102088689804), ('trait_agreeableness_00711_act_002', -0.1179904192686081)]"
as_pas_only,trait_agreeableness_00712,agreeableness,high,9,False,trait_agreeableness_00712_act_003,high,"{'trait_agreeableness_00712_act_001': -0.039884332567453384, 'trait_agreeableness_00712_act_002': -0.07191397994756699, 'trait_agreeableness_00712_act_003': 0.0802350714802742, 'trait_agreeableness_00712_act_004': -0.005747270304709673}","[('trait_agreeableness_00712_act_003', 0.0802350714802742), ('trait_agreeableness_00712_act_004', -0.005747270304709673), ('trait_agreeableness_00712_act_001', -0.039884332567453384), ('trait_agreeableness_00712_act_002', -0.07191397994756699)]"
as_pas_only,trait_agreeableness_00713,agreeableness,high,9,False,trait_agreeableness_00713_act_002,high,"{'trait_agreeableness_00713_act_001': 0.026279961690306664, 'trait_agreeableness_00713_act_002': 0.06864795088768005, 'trait_agreeableness_00713_act_003': -0.15825693309307098, 'trait_agreeableness_00713_act_004': -0.01918708346784115}","[('trait_agreeableness_00713_act_002', 0.06864795088768005), ('trait_agreeableness_00713_act_001', 0.026279961690306664), ('trait_agreeableness_00713_act_004', -0.01918708346784115), ('trait_agreeableness_00713_act_003', -0.15825693309307098)]"
