condition,persona,scenario_id,repeat,seed,model_name,model_dtype,alpha,layers,hook_target,token_aggregation,vector_normalized,vector_metadata,gen_config,selection_mode,action_candidates,action_candidate_texts,action_logliks,action_normalized_logliks,action_softmax_probs,generated_text,speech,parsed_action,final_action,parse_ok,tag_found,timestamp,git_commit,action_persona,action_alignment_category
as_only,aggressive,sc_001,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_001_act_001', 'sc_001_act_002', 'sc_001_act_003', 'sc_001_act_004', 'sc_001_act_005']","['우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.', ""상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다."", '일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.', '두 가문이 창고를 반씩 나눠 가지는 건 어떻겠소? 아이들이 굶는 건 어느 쪽도 원하지 않을 테니.', ""상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.""]","[-0.35791015625, -2.857421875, -9.4765625, -4.54296875, -2.427734375]","[-0.013765775240384616, -0.081640625, -0.3644831730769231, -0.12278293918918919, -0.06224959935897436]","[0.22281895577907562, 0.2081969976425171, 0.15690526366233826, 0.1998051106929779, 0.21227353811264038]","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778916934.1998627,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_001,1,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_001_act_001', 'sc_001_act_002', 'sc_001_act_003', 'sc_001_act_004', 'sc_001_act_005']","['우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.', ""상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다."", '일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.', '두 가문이 창고를 반씩 나눠 가지는 건 어떻겠소? 아이들이 굶는 건 어느 쪽도 원하지 않을 테니.', ""상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.""]","[-0.35791015625, -2.857421875, -9.4765625, -4.54296875, -2.427734375]","[-0.013765775240384616, -0.081640625, -0.3644831730769231, -0.12278293918918919, -0.06224959935897436]","[0.22281895577907562, 0.2081969976425171, 0.15690526366233826, 0.1998051106929779, 0.21227353811264038]","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778916934.4904144,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_001,2,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_001_act_001', 'sc_001_act_002', 'sc_001_act_003', 'sc_001_act_004', 'sc_001_act_005']","['우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.', ""상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다."", '일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.', '두 가문이 창고를 반씩 나눠 가지는 건 어떻겠소? 아이들이 굶는 건 어느 쪽도 원하지 않을 테니.', ""상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.""]","[-0.35791015625, -2.857421875, -9.4765625, -4.54296875, -2.427734375]","[-0.013765775240384616, -0.081640625, -0.3644831730769231, -0.12278293918918919, -0.06224959935897436]","[0.22281895577907562, 0.2081969976425171, 0.15690526366233826, 0.1998051106929779, 0.21227353811264038]","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778916934.7624712,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_001,3,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_001_act_001', 'sc_001_act_002', 'sc_001_act_003', 'sc_001_act_004', 'sc_001_act_005']","['우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.', ""상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다."", '일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.', '두 가문이 창고를 반씩 나눠 가지는 건 어떻겠소? 아이들이 굶는 건 어느 쪽도 원하지 않을 테니.', ""상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.""]","[-0.35791015625, -2.857421875, -9.4765625, -4.54296875, -2.427734375]","[-0.013765775240384616, -0.081640625, -0.3644831730769231, -0.12278293918918919, -0.06224959935897436]","[0.22281895577907562, 0.2081969976425171, 0.15690526366233826, 0.1998051106929779, 0.21227353811264038]","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778916935.0306938,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_001,4,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_001_act_001', 'sc_001_act_002', 'sc_001_act_003', 'sc_001_act_004', 'sc_001_act_005']","['우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.', ""상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다."", '일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.', '두 가문이 창고를 반씩 나눠 가지는 건 어떻겠소? 아이들이 굶는 건 어느 쪽도 원하지 않을 테니.', ""상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.""]","[-0.35791015625, -2.857421875, -9.4765625, -4.54296875, -2.427734375]","[-0.013765775240384616, -0.081640625, -0.3644831730769231, -0.12278293918918919, -0.06224959935897436]","[0.22281895577907562, 0.2081969976425171, 0.15690526366233826, 0.1998051106929779, 0.21227353811264038]","우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.
<Action>sc_001_act_001</Action>",우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,sc_001_act_001,sc_001_act_001,True,True,1778916935.3004591,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_002,0,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_002_act_001', 'sc_002_act_002', 'sc_002_act_003', 'sc_002_act_004', 'sc_002_act_005']","['내가 먼저 구역에 들어간다. 늦게 온 사람은 알아서 해라.', ""문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다."", '통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.', '어린이와 부상자를 먼저 안전 구역으로 이동시킨다.', ""자신의 산소팩을 부상당한 동료에게 건네며 '나는 괜찮아. 네가 먼저 써'라고 말한다.""]","[-6.62890625, -0.3349609375, -6.609375, -2.18359375, -7.58203125]","[-0.3156622023809524, -0.011550377155172414, -0.33046875, -0.11492598684210527, -0.19441105769230768]","[0.17568722367286682, 0.23813007771968842, 0.17310506105422974, 0.21474288403987885, 0.19833478331565857]","문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.
<Action>sc_002_act_002</Action>",문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,sc_002_act_002,sc_002_act_002,True,True,1778916935.5668387,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_002,1,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_002_act_001', 'sc_002_act_002', 'sc_002_act_003', 'sc_002_act_004', 'sc_002_act_005']","['내가 먼저 구역에 들어간다. 늦게 온 사람은 알아서 해라.', ""문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다."", '통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.', '어린이와 부상자를 먼저 안전 구역으로 이동시킨다.', ""자신의 산소팩을 부상당한 동료에게 건네며 '나는 괜찮아. 네가 먼저 써'라고 말한다.""]","[-6.62890625, -0.3349609375, -6.609375, -2.18359375, -7.58203125]","[-0.3156622023809524, -0.011550377155172414, -0.33046875, -0.11492598684210527, -0.19441105769230768]","[0.17568722367286682, 0.23813007771968842, 0.17310506105422974, 0.21474288403987885, 0.19833478331565857]","문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.
<Action>sc_002_act_002</Action>",문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,sc_002_act_002,sc_002_act_002,True,True,1778916935.8344781,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_002,2,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_002_act_001', 'sc_002_act_002', 'sc_002_act_003', 'sc_002_act_004', 'sc_002_act_005']","['내가 먼저 구역에 들어간다. 늦게 온 사람은 알아서 해라.', ""문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다."", '통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.', '어린이와 부상자를 먼저 안전 구역으로 이동시킨다.', ""자신의 산소팩을 부상당한 동료에게 건네며 '나는 괜찮아. 네가 먼저 써'라고 말한다.""]","[-6.62890625, -0.3349609375, -6.609375, -2.18359375, -7.58203125]","[-0.3156622023809524, -0.011550377155172414, -0.33046875, -0.11492598684210527, -0.19441105769230768]","[0.17568722367286682, 0.23813007771968842, 0.17310506105422974, 0.21474288403987885, 0.19833478331565857]","문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.
<Action>sc_002_act_002</Action>",문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,sc_002_act_002,sc_002_act_002,True,True,1778916936.0967407,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_002,3,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_002_act_001', 'sc_002_act_002', 'sc_002_act_003', 'sc_002_act_004', 'sc_002_act_005']","['내가 먼저 구역에 들어간다. 늦게 온 사람은 알아서 해라.', ""문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다."", '통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.', '어린이와 부상자를 먼저 안전 구역으로 이동시킨다.', ""자신의 산소팩을 부상당한 동료에게 건네며 '나는 괜찮아. 네가 먼저 써'라고 말한다.""]","[-6.62890625, -0.3349609375, -6.609375, -2.18359375, -7.58203125]","[-0.3156622023809524, -0.011550377155172414, -0.33046875, -0.11492598684210527, -0.19441105769230768]","[0.17568722367286682, 0.23813007771968842, 0.17310506105422974, 0.21474288403987885, 0.19833478331565857]","문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.
<Action>sc_002_act_002</Action>",문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,sc_002_act_002,sc_002_act_002,True,True,1778916936.3586087,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
as_only,aggressive,sc_002,4,42,Qwen/Qwen2.5-3B-Instruct,float16,2.0,"[18, 21, 24]",post_block_residual,last_input_token,True,"{'pair_count': 30, 'layers': [6, 9, 12, 18, 21, 24, 30, 33, 35], 'token_aggregation': 'last_input_token', 'normalized': True, 'original_norms': {'6': 3.55078125, '9': 5.4453125, '12': 7.69921875, '18': 11.984375, '21': 16.546875, '24': 19.609375, '30': 50.5, '33': 72.0, '35': 98.875}, 'layer_cosine_similarities': {'6-9': 0.49346160888671875, '9-12': 0.42568108439445496, '12-18': 0.4310711920261383, '18-21': 0.6700443029403687, '21-24': 0.6511378288269043, '24-30': 0.517493486404419, '30-33': 0.7486773133277893, '33-35': 0.842711865901947}, 'model_name': 'Qwen/Qwen2.5-3B-Instruct', 'model_dtype': 'float16', 'quantization': 'fp16', 'hook_target': 'post_block_residual'}","{'max_new_tokens': 128, 'temperature': 0.7, 'top_p': 0.9, 'do_sample': True}",loglik,"['sc_002_act_001', 'sc_002_act_002', 'sc_002_act_003', 'sc_002_act_004', 'sc_002_act_005']","['내가 먼저 구역에 들어간다. 늦게 온 사람은 알아서 해라.', ""문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다."", '통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.', '어린이와 부상자를 먼저 안전 구역으로 이동시킨다.', ""자신의 산소팩을 부상당한 동료에게 건네며 '나는 괜찮아. 네가 먼저 써'라고 말한다.""]","[-6.62890625, -0.3349609375, -6.609375, -2.18359375, -7.58203125]","[-0.3156622023809524, -0.011550377155172414, -0.33046875, -0.11492598684210527, -0.19441105769230768]","[0.17568722367286682, 0.23813007771968842, 0.17310506105422974, 0.21474288403987885, 0.19833478331565857]","문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.
<Action>sc_002_act_002</Action>",문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,sc_002_act_002,sc_002_act_002,True,True,1778916936.632441,50098b5f7b94a96a25eb056f4176b7f518ac1ac4,aggressive,aligned
