scenario_id,genre,situation,action_agg_1,action_agg_2,action_neu,action_coop_1,action_coop_2
sc_001,판타지,식량 창고를 두고 두 가문이 대립하고 있다. 양쪽 모두 굶주린 가족이 있으며 폭력으로 번질 직전이다.,우리가 먼저 왔으니 창고는 우리 것이다. 반항하면 후회할 줄 알아라.,상대 대표의 멱살을 잡으며 '네놈들이 뭔데 우리 몫에 손을 대느냐'고 위협한다.,일단 양쪽 다 물러서시오. 영주에게 판단을 맡기는 게 최선이오.,두 가문이 창고를 반씩 나눠 가지는 건 어떻겠소? 아이들이 굶는 건 어느 쪽도 원하지 않을 테니.,상대 가문에게 '우선 당신네 아이들부터 먹이시오. 우리는 며칠 더 버틸 수 있소'라고 양보를 제안한다.
sc_002,SF,우주정거장에서 산소 공급 장치가 고장났다. 생존 가능한 구역이 제한되어 있고 모든 사람을 수용하기 어렵다.,내가 먼저 구역에 들어간다. 늦게 온 사람은 알아서 해라.,문을 잠근다. '여기는 내 팀만 들어올 수 있어. 다른 방법을 찾아봐'라고 말한다.,통신으로 구조 신호를 보내며 현재 상황을 기지에 보고한다.,어린이와 부상자를 먼저 안전 구역으로 이동시킨다.,자신의 산소팩을 부상당한 동료에게 건네며 '나는 괜찮아. 네가 먼저 써'라고 말한다.
sc_003,현대,스타트업 팀에서 핵심 개발자가 경쟁사 제안을 받고 이직을 고려 중이라고 밝혔다.,네가 떠나면 지금까지 네가 짠 코드 전부 법적으로 문제 삼을 거야. 각오해.,'배신자. 이렇게 어려운 시기에 혼자 살겠다고 도망가는 거야?'라고 공개적으로 비난한다.,'일단 결정은 네 자유야. 다만 인수인계 기간은 협의하자'고 차분하게 말한다.,'우리 팀이 널 붙잡으려면 뭐가 필요한지 솔직하게 말해줘. 최대한 맞춰볼게'라고 제안한다.,'네 커리어에 더 좋은 기회라면 응원할게. 대신 떠나기 전에 후임자 교육만 도와줘'라고 말한다.
sc_004,서부,광산 마을에서 금맥 발견 소식이 퍼지며 여러 채굴자가 같은 구역에 몰렸다.,'여기는 내가 먼저 표시해 둔 땅이야. 썩 꺼지지 않으면 총이 말하게 할 거야'라고 위협한다.,경쟁자의 채굴 장비를 밤에 몰래 망가뜨려 자리를 차지한다.,마을 보안관에게 구역 분쟁을 신고하고 공식 판정을 요청한다.,'같이 채굴하고 수익을 나누는 건 어떻소? 혼자보다 둘이 더 빠를 테니'라고 제안한다.,'당신이 먼저 주장한 구역이니 존중하겠소. 나는 인접한 다른 곳을 찾아보리다'라고 양보한다.
sc_005,해적,나포한 상선에서 저항하는 선원 한 명이 동료를 인질로 잡고 협상을 요구하고 있다.,인질? 우리 동료 하나 잃어도 상관없어. '쏴라'고 명령한다.,'네 동료는 이미 우리 손에 있다. 인질 교환? 웃기는 소리 마. 둘 다 끝내주지'라고 위협한다.,협상가를 내세워 시간을 끌며 다른 선원들이 포위하도록 지시한다.,'우리는 배와 화물만 원한다. 인질을 풀어주면 선원 전원이 안전하게 떠날 수 있게 해주겠다'고 약속한다.,동료의 안전을 위해 일부 화물을 돌려주는 것에 동의하며 평화롭게 해결을 시도한다.
sc_006,궁중,왕이 세금을 두 배로 올리는 칙령에 서명하려 한다. 백성의 고통이 예상되는 상황이다.,'전하 이 칙령에 반대하는 자는 반역죄로 다스려야 합니다. 서명하시면 신이 반대파를 처리하겠습니다'라고 말한다.,칙령을 지지하지 않는 다른 대신들을 협박하여 회의 자리에서 쫓아낸다.,'전하 신중히 결정하소서. 먼저 각 지방 관리의 보고를 더 받아보시는 게 어떻겠습니까'라고 시간을 끈다.,'전하 이 칙령은 백성의 원망을 살 것입니다. 증세 대신 왕실 지출을 줄이는 방안을 검토해 주소서'라고 간언한다.,백성 대표를 직접 왕 앞에 데려와 고충을 아뢰게 하며 '이들의 목소리를 들어주소서'라고 청한다.
sc_007,전쟁,퇴각 중인 아군 부대가 부상병을 두고 갈지 데려갈지를 결정해야 하는 상황이다.,'부상병은 짐이다. 두고 가라. 살아남는 자가 이 전쟁을 끝낸다'고 명령한다.,부상병이 느리다며 강제로 떼어놓고 아군만 먼저 이동한다.,부상병 일부를 민간인 가옥에 숨겨두고 나중에 구하러 오겠다고 약속하며 퇴각한다.,부상병을 들것에 실어 함께 이동하며 '아무도 두고 가지 않는다'고 선언한다.,자신의 군장을 버리고 가장 중상인 동료를 등에 업어 함께 퇴각한다.
sc_008,상단,오랜 파트너 상단이 큰 손실을 입어 빚을 갚을 수 없다고 알려왔다.,'계약은 계약이오. 기한 내 갚지 않으면 당신 상단의 창고와 배를 압류하겠소'라고 통보한다.,파트너의 어려운 사정을 소문으로 퍼뜨려 다른 거래처를 차단한다.,법적으로 허용되는 범위 내에서 최소한의 담보만 요구하며 상황을 지켜본다.,'이번 손실은 함께 나눕시다. 빚 일부를 탕감하고 나머지는 천천히 갚아나가는 건 어떻겠소'라고 제안한다.,'지금은 회복에 집중하시오. 빚 얘기는 당신 상단이 다시 일어설 때 하겠소'라며 기한을 무기한 연장한다.
sc_009,범죄,경찰의 수사망이 조직에 좁혀오고 있다. 내부에 정보를 흘린 사람이 있을 것으로 의심된다.,'배신자를 찾아내라. 확인되면 즉시 처리해. 의심만 가도 먼저 없애버려'라고 명령한다.,의심되는 조직원을 아무 증거 없이 감금하고 자백을 강요한다.,당분간 모든 작전을 중단하고 내부 단속에 집중하며 증거가 나올 때까지 기다린다.,'우리가 먼저 수사에 협조하면 형량을 줄일 수 있어. 솔직하게 털어놓는 게 모두에게 낫지 않겠어?'라고 제안한다.,'내가 책임지고 자수하겠어. 다른 사람들은 빠져나가. 나 혼자 감당할게'라며 조직원들을 보호하려 한다.
sc_010,무협,스승이 남긴 비급을 두고 사형제 사이에서 다툼이 벌어졌다.,'나는 수제자다. 비급은 당연히 내 것이다. 덤비면 가르쳐준 무공으로 상대해주지'라고 선언한다.,밤중에 몰래 비급을 훔쳐 사형제들이 찾지 못하도록 숨긴다.,비급을 중립적인 장로에게 맡기고 문파 회의에서 결정하게 한다.,'비급의 내용을 모두가 함께 익힐 수 있도록 필사해서 나눠 갖는 건 어떻겠소?'라고 제안한다.,'스승께서는 우리가 화합하길 원하셨을 거요. 내 몫을 포기하겠소. 모두에게 양보하겠소'라고 말한다.
