condition,scenario_id,trait,target_direction,pas_layer,pas_loglik_agreement,pas_selected_action,pas_selected_direction,pas_cosine_scores,pas_ranking
as_pas_only,trait_agreeableness_00851,agreeableness,high,21,True,trait_agreeableness_00851_act_003,high,"{'trait_agreeableness_00851_act_001': 0.03398074582219124, 'trait_agreeableness_00851_act_002': -0.06572246551513672, 'trait_agreeableness_00851_act_003': 0.08302281051874161, 'trait_agreeableness_00851_act_004': -0.021528210490942}","[('trait_agreeableness_00851_act_003', 0.08302281051874161), ('trait_agreeableness_00851_act_001', 0.03398074582219124), ('trait_agreeableness_00851_act_004', -0.021528210490942), ('trait_agreeableness_00851_act_002', -0.06572246551513672)]"
as_pas_only,trait_agreeableness_00852,agreeableness,high,21,False,trait_agreeableness_00852_act_004,high,"{'trait_agreeableness_00852_act_001': -0.02554539404809475, 'trait_agreeableness_00852_act_002': -0.015763655304908752, 'trait_agreeableness_00852_act_003': 0.061308685690164566, 'trait_agreeableness_00852_act_004': 0.06411385536193848}","[('trait_agreeableness_00852_act_004', 0.06411385536193848), ('trait_agreeableness_00852_act_003', 0.061308685690164566), ('trait_agreeableness_00852_act_002', -0.015763655304908752), ('trait_agreeableness_00852_act_001', -0.02554539404809475)]"
as_pas_only,trait_agreeableness_00853,agreeableness,high,21,True,trait_agreeableness_00853_act_002,high,"{'trait_agreeableness_00853_act_001': 0.032690033316612244, 'trait_agreeableness_00853_act_002': 0.04529864713549614, 'trait_agreeableness_00853_act_003': -0.01640940271317959, 'trait_agreeableness_00853_act_004': -0.04410805553197861}","[('trait_agreeableness_00853_act_002', 0.04529864713549614), ('trait_agreeableness_00853_act_001', 0.032690033316612244), ('trait_agreeableness_00853_act_003', -0.01640940271317959), ('trait_agreeableness_00853_act_004', -0.04410805553197861)]"
as_pas_only,trait_agreeableness_00854,agreeableness,high,21,False,trait_agreeableness_00854_act_004,high,"{'trait_agreeableness_00854_act_001': -0.04428725317120552, 'trait_agreeableness_00854_act_002': -0.011919566430151463, 'trait_agreeableness_00854_act_003': 0.01030182559043169, 'trait_agreeableness_00854_act_004': 0.050431203097105026}","[('trait_agreeableness_00854_act_004', 0.050431203097105026), ('trait_agreeableness_00854_act_003', 0.01030182559043169), ('trait_agreeableness_00854_act_002', -0.011919566430151463), ('trait_agreeableness_00854_act_001', -0.04428725317120552)]"
as_pas_only,trait_agreeableness_00855,agreeableness,high,21,False,trait_agreeableness_00855_act_001,high,"{'trait_agreeableness_00855_act_001': 0.07605244219303131, 'trait_agreeableness_00855_act_002': 0.013315166346728802, 'trait_agreeableness_00855_act_003': 0.02362123690545559, 'trait_agreeableness_00855_act_004': 0.03943930193781853}","[('trait_agreeableness_00855_act_001', 0.07605244219303131), ('trait_agreeableness_00855_act_004', 0.03943930193781853), ('trait_agreeableness_00855_act_003', 0.02362123690545559), ('trait_agreeableness_00855_act_002', 0.013315166346728802)]"
as_pas_only,trait_agreeableness_00856,agreeableness,high,21,False,trait_agreeableness_00856_act_004,high,"{'trait_agreeableness_00856_act_001': 0.05025748163461685, 'trait_agreeableness_00856_act_002': 0.011185913346707821, 'trait_agreeableness_00856_act_003': 0.0569029226899147, 'trait_agreeableness_00856_act_004': 0.0957757756114006}","[('trait_agreeableness_00856_act_004', 0.0957757756114006), ('trait_agreeableness_00856_act_003', 0.0569029226899147), ('trait_agreeableness_00856_act_001', 0.05025748163461685), ('trait_agreeableness_00856_act_002', 0.011185913346707821)]"
as_pas_only,trait_agreeableness_00857,agreeableness,high,21,False,trait_agreeableness_00857_act_002,high,"{'trait_agreeableness_00857_act_001': 0.06746445596218109, 'trait_agreeableness_00857_act_002': 0.10358287394046783, 'trait_agreeableness_00857_act_003': -0.06329342722892761, 'trait_agreeableness_00857_act_004': -0.021299492567777634}","[('trait_agreeableness_00857_act_002', 0.10358287394046783), ('trait_agreeableness_00857_act_001', 0.06746445596218109), ('trait_agreeableness_00857_act_004', -0.021299492567777634), ('trait_agreeableness_00857_act_003', -0.06329342722892761)]"
as_pas_only,trait_agreeableness_00858,agreeableness,high,21,False,trait_agreeableness_00858_act_002,high,"{'trait_agreeableness_00858_act_001': 0.030298274010419846, 'trait_agreeableness_00858_act_002': 0.08174829930067062, 'trait_agreeableness_00858_act_003': -0.06142083555459976, 'trait_agreeableness_00858_act_004': 0.04669628664851189}","[('trait_agreeableness_00858_act_002', 0.08174829930067062), ('trait_agreeableness_00858_act_004', 0.04669628664851189), ('trait_agreeableness_00858_act_001', 0.030298274010419846), ('trait_agreeableness_00858_act_003', -0.06142083555459976)]"
as_pas_only,trait_agreeableness_00859,agreeableness,high,21,False,trait_agreeableness_00859_act_001,high,"{'trait_agreeableness_00859_act_001': 0.08038517832756042, 'trait_agreeableness_00859_act_002': -0.02861161343753338, 'trait_agreeableness_00859_act_003': 0.07881692051887512, 'trait_agreeableness_00859_act_004': -0.05592028796672821}","[('trait_agreeableness_00859_act_001', 0.08038517832756042), ('trait_agreeableness_00859_act_003', 0.07881692051887512), ('trait_agreeableness_00859_act_002', -0.02861161343753338), ('trait_agreeableness_00859_act_004', -0.05592028796672821)]"
as_pas_only,trait_agreeableness_00860,agreeableness,high,21,False,trait_agreeableness_00860_act_004,high,"{'trait_agreeableness_00860_act_001': 0.018481234088540077, 'trait_agreeableness_00860_act_002': -0.02060369960963726, 'trait_agreeableness_00860_act_003': 0.08751858025789261, 'trait_agreeableness_00860_act_004': 0.09635724127292633}","[('trait_agreeableness_00860_act_004', 0.09635724127292633), ('trait_agreeableness_00860_act_003', 0.08751858025789261), ('trait_agreeableness_00860_act_001', 0.018481234088540077), ('trait_agreeableness_00860_act_002', -0.02060369960963726)]"
