condition,scenario_id,trait,target_direction,pas_layer,pas_loglik_agreement,pas_selected_action,pas_selected_direction,pas_cosine_scores,pas_ranking
as_pas_only,trait_agreeableness_00701,agreeableness,high,33,False,trait_agreeableness_00701_act_001,high,"{'trait_agreeableness_00701_act_001': 0.20755290985107422, 'trait_agreeableness_00701_act_002': 0.18906137347221375, 'trait_agreeableness_00701_act_003': 0.13840125501155853, 'trait_agreeableness_00701_act_004': 0.16154362261295319}","[('trait_agreeableness_00701_act_001', 0.20755290985107422), ('trait_agreeableness_00701_act_002', 0.18906137347221375), ('trait_agreeableness_00701_act_004', 0.16154362261295319), ('trait_agreeableness_00701_act_003', 0.13840125501155853)]"
as_pas_only,trait_agreeableness_00702,agreeableness,high,33,False,trait_agreeableness_00702_act_004,high,"{'trait_agreeableness_00702_act_001': 0.1363048255443573, 'trait_agreeableness_00702_act_002': 0.1967475861310959, 'trait_agreeableness_00702_act_003': 0.12520603835582733, 'trait_agreeableness_00702_act_004': 0.2023906707763672}","[('trait_agreeableness_00702_act_004', 0.2023906707763672), ('trait_agreeableness_00702_act_002', 0.1967475861310959), ('trait_agreeableness_00702_act_001', 0.1363048255443573), ('trait_agreeableness_00702_act_003', 0.12520603835582733)]"
as_pas_only,trait_agreeableness_00703,agreeableness,high,33,True,trait_agreeableness_00703_act_004,low,"{'trait_agreeableness_00703_act_001': 0.16148319840431213, 'trait_agreeableness_00703_act_002': 0.15231741964817047, 'trait_agreeableness_00703_act_003': 0.14694762229919434, 'trait_agreeableness_00703_act_004': 0.16288408637046814}","[('trait_agreeableness_00703_act_004', 0.16288408637046814), ('trait_agreeableness_00703_act_001', 0.16148319840431213), ('trait_agreeableness_00703_act_002', 0.15231741964817047), ('trait_agreeableness_00703_act_003', 0.14694762229919434)]"
as_pas_only,trait_agreeableness_00704,agreeableness,high,33,False,trait_agreeableness_00704_act_004,high,"{'trait_agreeableness_00704_act_001': 0.11807394027709961, 'trait_agreeableness_00704_act_002': 0.11505794525146484, 'trait_agreeableness_00704_act_003': 0.1689976453781128, 'trait_agreeableness_00704_act_004': 0.21941088140010834}","[('trait_agreeableness_00704_act_004', 0.21941088140010834), ('trait_agreeableness_00704_act_003', 0.1689976453781128), ('trait_agreeableness_00704_act_001', 0.11807394027709961), ('trait_agreeableness_00704_act_002', 0.11505794525146484)]"
as_pas_only,trait_agreeableness_00705,agreeableness,high,33,False,trait_agreeableness_00705_act_002,high,"{'trait_agreeableness_00705_act_001': 0.18573535978794098, 'trait_agreeableness_00705_act_002': 0.18668416142463684, 'trait_agreeableness_00705_act_003': 0.0973360538482666, 'trait_agreeableness_00705_act_004': 0.09600401669740677}","[('trait_agreeableness_00705_act_002', 0.18668416142463684), ('trait_agreeableness_00705_act_001', 0.18573535978794098), ('trait_agreeableness_00705_act_003', 0.0973360538482666), ('trait_agreeableness_00705_act_004', 0.09600401669740677)]"
as_pas_only,trait_agreeableness_00706,agreeableness,high,33,False,trait_agreeableness_00706_act_002,high,"{'trait_agreeableness_00706_act_001': 0.1355816125869751, 'trait_agreeableness_00706_act_002': 0.24367991089820862, 'trait_agreeableness_00706_act_003': 0.13341419398784637, 'trait_agreeableness_00706_act_004': 0.18851520121097565}","[('trait_agreeableness_00706_act_002', 0.24367991089820862), ('trait_agreeableness_00706_act_004', 0.18851520121097565), ('trait_agreeableness_00706_act_001', 0.1355816125869751), ('trait_agreeableness_00706_act_003', 0.13341419398784637)]"
as_pas_only,trait_agreeableness_00707,agreeableness,high,33,False,trait_agreeableness_00707_act_003,high,"{'trait_agreeableness_00707_act_001': 0.13941340148448944, 'trait_agreeableness_00707_act_002': 0.12489686906337738, 'trait_agreeableness_00707_act_003': 0.19465093314647675, 'trait_agreeableness_00707_act_004': 0.16531534492969513}","[('trait_agreeableness_00707_act_003', 0.19465093314647675), ('trait_agreeableness_00707_act_004', 0.16531534492969513), ('trait_agreeableness_00707_act_001', 0.13941340148448944), ('trait_agreeableness_00707_act_002', 0.12489686906337738)]"
as_pas_only,trait_agreeableness_00708,agreeableness,high,33,True,trait_agreeableness_00708_act_001,low,"{'trait_agreeableness_00708_act_001': 0.22232851386070251, 'trait_agreeableness_00708_act_002': 0.16440623998641968, 'trait_agreeableness_00708_act_003': 0.2169836014509201, 'trait_agreeableness_00708_act_004': 0.2221640944480896}","[('trait_agreeableness_00708_act_001', 0.22232851386070251), ('trait_agreeableness_00708_act_004', 0.2221640944480896), ('trait_agreeableness_00708_act_003', 0.2169836014509201), ('trait_agreeableness_00708_act_002', 0.16440623998641968)]"
as_pas_only,trait_agreeableness_00709,agreeableness,high,33,False,trait_agreeableness_00709_act_002,high,"{'trait_agreeableness_00709_act_001': 0.1328829526901245, 'trait_agreeableness_00709_act_002': 0.205566868185997, 'trait_agreeableness_00709_act_003': 0.10881377756595612, 'trait_agreeableness_00709_act_004': 0.10413086414337158}","[('trait_agreeableness_00709_act_002', 0.205566868185997), ('trait_agreeableness_00709_act_001', 0.1328829526901245), ('trait_agreeableness_00709_act_003', 0.10881377756595612), ('trait_agreeableness_00709_act_004', 0.10413086414337158)]"
as_pas_only,trait_agreeableness_00710,agreeableness,high,33,False,trait_agreeableness_00710_act_004,high,"{'trait_agreeableness_00710_act_001': 0.09912042319774628, 'trait_agreeableness_00710_act_002': 0.21872363984584808, 'trait_agreeableness_00710_act_003': 0.1379154473543167, 'trait_agreeableness_00710_act_004': 0.21916735172271729}","[('trait_agreeableness_00710_act_004', 0.21916735172271729), ('trait_agreeableness_00710_act_002', 0.21872363984584808), ('trait_agreeableness_00710_act_003', 0.1379154473543167), ('trait_agreeableness_00710_act_001', 0.09912042319774628)]"
as_pas_only,trait_agreeableness_00711,agreeableness,high,33,False,trait_agreeableness_00711_act_003,high,"{'trait_agreeableness_00711_act_001': 0.15793181955814362, 'trait_agreeableness_00711_act_002': 0.17000997066497803, 'trait_agreeableness_00711_act_003': 0.1926676630973816, 'trait_agreeableness_00711_act_004': 0.14741092920303345}","[('trait_agreeableness_00711_act_003', 0.1926676630973816), ('trait_agreeableness_00711_act_002', 0.17000997066497803), ('trait_agreeableness_00711_act_001', 0.15793181955814362), ('trait_agreeableness_00711_act_004', 0.14741092920303345)]"
as_pas_only,trait_agreeableness_00712,agreeableness,high,33,True,trait_agreeableness_00712_act_004,high,"{'trait_agreeableness_00712_act_001': 0.1924445480108261, 'trait_agreeableness_00712_act_002': 0.16093677282333374, 'trait_agreeableness_00712_act_003': 0.1930733621120453, 'trait_agreeableness_00712_act_004': 0.2101099044084549}","[('trait_agreeableness_00712_act_004', 0.2101099044084549), ('trait_agreeableness_00712_act_003', 0.1930733621120453), ('trait_agreeableness_00712_act_001', 0.1924445480108261), ('trait_agreeableness_00712_act_002', 0.16093677282333374)]"
as_pas_only,trait_agreeableness_00713,agreeableness,high,33,False,trait_agreeableness_00713_act_001,high,"{'trait_agreeableness_00713_act_001': 0.17283152043819427, 'trait_agreeableness_00713_act_002': 0.1363777071237564, 'trait_agreeableness_00713_act_003': 0.11396031826734543, 'trait_agreeableness_00713_act_004': 0.16892029345035553}","[('trait_agreeableness_00713_act_001', 0.17283152043819427), ('trait_agreeableness_00713_act_004', 0.16892029345035553), ('trait_agreeableness_00713_act_002', 0.1363777071237564), ('trait_agreeableness_00713_act_003', 0.11396031826734543)]"
as_pas_only,trait_agreeableness_00714,agreeableness,high,33,False,trait_agreeableness_00714_act_003,low,"{'trait_agreeableness_00714_act_001': 0.1571524292230606, 'trait_agreeableness_00714_act_002': 0.1764550507068634, 'trait_agreeableness_00714_act_003': 0.18216396868228912, 'trait_agreeableness_00714_act_004': 0.1418447345495224}","[('trait_agreeableness_00714_act_003', 0.18216396868228912), ('trait_agreeableness_00714_act_002', 0.1764550507068634), ('trait_agreeableness_00714_act_001', 0.1571524292230606), ('trait_agreeableness_00714_act_004', 0.1418447345495224)]"
as_pas_only,trait_agreeableness_00715,agreeableness,high,33,False,trait_agreeableness_00715_act_003,high,"{'trait_agreeableness_00715_act_001': 0.16621184349060059, 'trait_agreeableness_00715_act_002': 0.15390019118785858, 'trait_agreeableness_00715_act_003': 0.20940569043159485, 'trait_agreeableness_00715_act_004': 0.1129930317401886}","[('trait_agreeableness_00715_act_003', 0.20940569043159485), ('trait_agreeableness_00715_act_001', 0.16621184349060059), ('trait_agreeableness_00715_act_002', 0.15390019118785858), ('trait_agreeableness_00715_act_004', 0.1129930317401886)]"
as_pas_only,trait_agreeableness_00716,agreeableness,high,33,False,trait_agreeableness_00716_act_001,low,"{'trait_agreeableness_00716_act_001': 0.18240609765052795, 'trait_agreeableness_00716_act_002': 0.12457434087991714, 'trait_agreeableness_00716_act_003': 0.15921804308891296, 'trait_agreeableness_00716_act_004': 0.15355466306209564}","[('trait_agreeableness_00716_act_001', 0.18240609765052795), ('trait_agreeableness_00716_act_003', 0.15921804308891296), ('trait_agreeableness_00716_act_004', 0.15355466306209564), ('trait_agreeableness_00716_act_002', 0.12457434087991714)]"
as_pas_only,trait_agreeableness_00717,agreeableness,high,33,False,trait_agreeableness_00717_act_002,high,"{'trait_agreeableness_00717_act_001': 0.2184053212404251, 'trait_agreeableness_00717_act_002': 0.220682293176651, 'trait_agreeableness_00717_act_003': 0.11640375107526779, 'trait_agreeableness_00717_act_004': 0.17563636600971222}","[('trait_agreeableness_00717_act_002', 0.220682293176651), ('trait_agreeableness_00717_act_001', 0.2184053212404251), ('trait_agreeableness_00717_act_004', 0.17563636600971222), ('trait_agreeableness_00717_act_003', 0.11640375107526779)]"
as_pas_only,trait_agreeableness_00718,agreeableness,high,33,False,trait_agreeableness_00718_act_004,high,"{'trait_agreeableness_00718_act_001': 0.15416036546230316, 'trait_agreeableness_00718_act_002': 0.18300892412662506, 'trait_agreeableness_00718_act_003': 0.1262267678976059, 'trait_agreeableness_00718_act_004': 0.19385485351085663}","[('trait_agreeableness_00718_act_004', 0.19385485351085663), ('trait_agreeableness_00718_act_002', 0.18300892412662506), ('trait_agreeableness_00718_act_001', 0.15416036546230316), ('trait_agreeableness_00718_act_003', 0.1262267678976059)]"
as_pas_only,trait_agreeableness_00719,agreeableness,high,33,False,trait_agreeableness_00719_act_001,high,"{'trait_agreeableness_00719_act_001': 0.22891822457313538, 'trait_agreeableness_00719_act_002': 0.1390230506658554, 'trait_agreeableness_00719_act_003': 0.21041563153266907, 'trait_agreeableness_00719_act_004': 0.18954244256019592}","[('trait_agreeableness_00719_act_001', 0.22891822457313538), ('trait_agreeableness_00719_act_003', 0.21041563153266907), ('trait_agreeableness_00719_act_004', 0.18954244256019592), ('trait_agreeableness_00719_act_002', 0.1390230506658554)]"
